Date,Open,High,Low,Close
"Sep 02, 2024",315.0,319.5,315.0,319.5
"Aug 30, 2024",319.0,319.5,319.0,319.5
"Aug 29, 2024",319.0,319.5,319.0,319.0
"Aug 28, 2024",316.5,319.0,316.5,318.5
"Aug 27, 2024",317.5,317.5,317.5,317.5
"Aug 26, 2024",319.5,319.5,318.5,318.5
"Aug 23, 2024",319.0,319.0,318.0,318.0
"Aug 22, 2024",316.0,318.0,316.0,318.0
"Aug 21, 2024",319.0,320.0,315.0,316.0
"Aug 20, 2024",319.5,319.5,317.0,318.0
"Aug 19, 2024",317.5,318.0,317.5,318.0
"Aug 16, 2024",318.0,318.0,317.5,317.5
"Aug 15, 2024",320.0,320.0,317.0,317.0
"Aug 14, 2024",320.0,320.0,315.0,319.0
"Aug 13, 2024",317.5,320.0,317.0,318.0
"Aug 12, 2024",314.5,317.0,314.0,317.0
"Aug 09, 2024",313.0,315.0,313.0,314.0
"Aug 08, 2024",306.5,309.5,306.5,309.5
"Aug 07, 2024",304.5,306.0,303.5,306.0
"Aug 06, 2024",303.5,305.0,301.0,304.5
"Aug 05, 2024",306.5,311.5,300.5,300.5
"Aug 02, 2024",314.0,314.0,311.0,311.0
"Aug 01, 2024",310.0,314.0,310.0,314.0
"Jul 31, 2024",312.0,314.0,312.0,314.0
"Jul 30, 2024",307.0,313.5,306.0,312.5
"Jul 29, 2024",307.0,307.5,307.0,307.5
"Jul 26, 2024",305.5,306.5,305.5,306.5
"Jul 23, 2024",307.0,307.0,307.0,307.0
"Jul 22, 2024",306.0,307.0,305.5,307.0
"Jul 19, 2024",308.0,308.0,308.0,308.0
"Jul 18, 2024",310.0,310.0,310.0,310.0
"Jul 17, 2024",308.5,312.0,308.5,312.0
"Jul 16, 2024",306.0,312.0,305.0,307.5
"Jul 15, 2024",321.0,321.0,318.5,320.0
"Jul 12, 2024",324.0,324.0,321.0,321.0
"Jul 11, 2024",319.5,321.0,319.5,321.0
"Jul 10, 2024",318.0,320.0,317.0,320.0
"Jul 09, 2024",316.5,318.5,316.5,318.0
"Jul 08, 2024",316.5,316.5,316.5,316.5
"Jul 05, 2024",316.5,316.5,316.0,316.5
"Jul 04, 2024",317.0,318.0,316.5,316.5
"Jul 03, 2024",318.0,318.0,316.5,318.0
"Jul 02, 2024",318.5,318.5,317.5,317.5
"Jul 01, 2024",319.5,320.0,318.5,318.5
"Jun 28, 2024",319.5,320.0,319.0,319.0
"Jun 27, 2024",319.5,319.5,319.5,319.5
"Jun 26, 2024",317.5,318.0,317.5,317.5
"Jun 25, 2024",317.0,317.0,317.0,317.0
"Jun 24, 2024",317.0,317.5,317.0,317.5
"Jun 21, 2024",316.5,317.5,316.5,317.5
"Jun 20, 2024",317.0,317.0,316.5,317.0
"Jun 19, 2024",316.5,317.0,316.5,316.5
"Jun 18, 2024",316.0,317.5,316.0,317.0
"Jun 17, 2024",316.0,316.0,314.0,316.0
"Jun 14, 2024",314.0,318.0,314.0,316.0
"Jun 13, 2024",312.0,314.0,312.0,314.0
"Jun 12, 2024",313.0,313.0,312.0,312.0
"Jun 11, 2024",312.0,312.5,312.0,312.0
"Jun 07, 2024",312.0,313.0,312.0,312.5
"Jun 06, 2024",310.5,312.0,310.5,311.0
"Jun 05, 2024",310.5,312.0,310.5,311.0
"Jun 04, 2024",310.5,311.0,310.5,310.5
"Jun 03, 2024",312.0,312.0,311.0,311.0
"May 31, 2024",309.0,310.0,309.0,310.0
"May 30, 2024",309.5,311.5,309.5,310.0
"May 29, 2024",309.0,309.5,309.0,309.5
"May 28, 2024",309.5,311.5,309.5,311.5
"May 27, 2024",313.0,313.0,312.0,312.0
"May 24, 2024",312.5,312.5,312.5,312.5
"May 23, 2024",314.0,315.0,313.0,313.0
"May 22, 2024",314.5,314.5,314.5,314.5
"May 21, 2024",314.0,314.0,313.5,314.0
"May 20, 2024",315.5,316.0,315.0,315.0
"May 17, 2024",314.0,316.0,314.0,316.0
"May 16, 2024",312.5,313.0,310.5,305.0
"May 15, 2024",308.0,313.0,308.0,309.0
"May 14, 2024",306.0,306.0,305.5,303.0
"May 13, 2024",305.5,309.0,305.0,306.0
"May 10, 2024",302.5,305.0,302.5,304.0
"May 09, 2024",303.0,303.5,302.5,302.5
"May 08, 2024",302.0,302.0,302.0,301.0
"May 07, 2024",303.5,303.5,302.0,302.5
"May 06, 2024",301.0,305.5,301.0,304.5
"May 03, 2024",300.5,301.0,300.5,300.5
"May 02, 2024",300.0,300.0,300.0,300.0
"Apr 30, 2024",300.5,300.5,300.0,300.0
"Apr 29, 2024",300.5,301.0,300.5,301.0
"Apr 26, 2024",300.0,300.5,300.0,300.0
"Apr 25, 2024",300.5,301.5,299.5,301.5
"Apr 24, 2024",301.0,302.0,301.0,301.0
"Apr 23, 2024",300.0,300.0,300.0,300.0
"Apr 22, 2024",299.5,300.0,298.0,300.0
"Apr 19, 2024",302.5,302.5,299.5,300.5
"Apr 18, 2024",303.0,304.0,303.0,303.0
"Apr 17, 2024",304.0,305.0,303.0,303.0
"Apr 16, 2024",303.5,304.0,302.5,304.0
"Apr 15, 2024",314.5,314.5,305.0,306.5
"Apr 12, 2024",304.5,305.0,304.5,305.0
"Apr 11, 2024",304.5,304.5,304.0,304.0
