股票代號,公司名稱,最新一季每股淨值(元),產業類別
1260,富味鄉,22.86,食品工業
1269,乾杯,46.41,觀光餐旅
1271,晨暉生技,54.04,生技醫療業
1293,利統,13.41,食品工業
1294,漢田生技,18.27,食品工業
1295,生合,32.46,食品工業
1343,旭東環保,15.68,綠能環保
1480,東盟開發,7.59,鋼鐵工業
1585,鎧鉅,-0.10,電子零組件業
1594,日高,11.05,電機機械
1623,大東電,35.94,電器電纜
1780,立弘,12.08,生技醫療業
2071,震南鐵,22.19,鋼鐵工業
2072,世紀風電,64.33,鋼鐵工業
2237,華德動能,8.65,電機機械
2245,詠勝昌,36.03,電機機械
2249,湧盛,46.33,電機機械
2252,為昇科,5.57,其他電子業
2255,凱銳光電,21.70,其他電子業
2256,歐特明,5.37,其他電子業
2644,中信造船,16.84,航運業
2646,星宇航空,7.40,航運業
2733,維格餅家,17.50,觀光餐旅
2741,老四川,29.07,觀光餐旅
2750,桃禧,13.02,觀光餐旅
2751,王座,13.06,觀光餐旅
2758,路易莎咖啡,29.51,觀光餐旅
2760,巨宇翔,14.04,觀光餐旅
2761,橘焱胡同,25.44,觀光餐旅
2938,床的世界,32.69,居家生活
2942,京站,18.87,居家生活
3097,拍檔,15.32,電腦及週邊設備業
3117,年程,5.49,電子零組件業
3135,凌航,19.67,半導體業
3158,嘉實,20.35,資訊服務業
3184,微邦,7.46,生技醫療業
3467,台灣精材,15.53,半導體業
3485,敘豐,36.87,光電業
3585,聯致,10.06,電子零組件業
3595,山太士,13.70,光電業
3603,建祥國際,10.92,電子通路業
3633,云光,40.15,光電業
3659,百辰,18.39,光電業
3678,聯享,19.32,光電業
4115,善德生技,12.78,生技醫療業
4117,普生,6.70,生技醫療業
4132,國鼎,1.69,生技醫療業
4150,優你康,6.65,生技醫療業
4166,友霖,7.94,生技醫療業
4169,泰宗,17.75,生技醫療業
4170,鑫品生醫,9.51,生技醫療業
4172,因華,4.57,生技醫療業
4186,尖端醫,2.54,生技醫療業
4194,禾生技,2.66,生技醫療業
4195,基米,9.63,生技醫療業
4197,暐世,6.54,生技醫療業
4431,敏成健康,18.17,其他
4441,振大環球,74.42,紡織纖維
4537,旭東,15.42,光電業
4544,春日,17.24,電機機械
4546,長亨,36.46,電機機械
4553,盛復,17.90,電機機械
4559,久裕興,10.38,運動休閒
4565,宏偉,41.74,電機機械
4570,傑生,48.27,電機機械
4573,高明鐵,13.42,電機機械
4575,銓寶,29.58,電機機械
4582,聚恆,17.23,綠能環保
4587,寶元數控,8.22,電機機械
4589,碩陽電機,21.73,電機機械
4724,宣捷幹細胞,8.59,生技醫療業
4732,彥臣,12.95,生技醫療業
4738,大同精化,1.70,化學工業
4749,新應材,31.67,光電業
4765,磐采,15.04,化學工業
4772,台特化,12.84,化學工業
4773,高福,18.39,化學工業
4925,智微,19.55,半導體業
4980,佐臻,18.70,電子零組件業
5240,建騰,10.99,光電業
5246,勵威,13.51,半導體業
5248,景傳,25.30,光電業
5254,欣訊科技,17.95,電子零組件業
5262,立達,17.73,半導體業
5267,龍翩,23.40,光電業
5271,紘通,4.59,電子零組件業
5277,葳天,7.43,光電業
5297,廣化,12.23,半導體業
5547,久舜,15.08,建材營造
5859,遠壽,0.00,金融業
5863,瑞興銀,18.32,金融業
6027,德信,13.58,金融業
6028,公勝保經,26.05,金融業
6035,悠遊卡,15.82,金融業
6272,驊陞,16.43,電子零組件業
6403,群登,4.17,通信網路業
6407,相互,17.52,電子零組件業
6428,台灣淘米,7.11,文化創意業
6434,達輝光電,4.78,光電業
6473,美賣*,0.00,數位雲端
6474,華豫寧,29.51,電子通路業
6483,原創生醫,4.51,生技醫療業
6493,雷虎生,12.17,生技醫療業
6498,久禾光,19.32,光電業
6518,康科特,20.14,生技醫療業
6536,碩豐,4.30,資訊服務業
6539,麗彤,24.26,生技醫療業
6543,普惠醫工,15.02,生技醫療業
6549,景凱,0.76,生技醫療業
6555,榮炭,20.96,電子零組件業
6559,研晶,10.25,光電業
6564,安特羅,6.14,生技醫療業
6565,物聯,3.67,數位雲端
6572,博錸,3.71,生技醫療業
6580,台睿,6.42,生技醫療業
6583,友松,18.65,文化創意業
6586,醣基,13.44,生技醫療業
6595,光禹國際,10.82,文化創意業
6597,立誠,18.88,電子零組件業
6599,普達系統,25.93,電腦及週邊設備業
6610,安成生技,2.78,生技醫療業
6618,永虹先進,5.06,化學工業
6620,漢達,20.55,生技醫療業
6621,華宇藥,8.63,生技醫療業
6622,百聿數碼,12.62,文化創意業
6626,唯數,1.97,文化創意業
6634,欣耀,17.72,生技醫療業
6638,沅聖,54.51,電腦及週邊設備業
6639,源大環能,7.54,油電燃氣業
6648,斯其大,16.95,其他電子業
6650,帝圖,15.42,文化創意業
6652,雅祥生醫,2.81,生技醫療業
6665,康聯生醫,20.41,生技醫療業
6673,和詮,4.47,光電業
6676,祥翊,7.81,生技醫療業
