股票代號,公司名稱,最新一季每股淨值(元),產業類別
1240,茂生農經,40.73,農業科技
1259,安心,77.05,觀光餐旅
1264,德麥,82.07,食品工業
1268,漢來美食,51.16,觀光餐旅
1336,台翰,24.06,電子零組件業
1565,精華,121.15,生技醫療業
1569,濱川,25.46,電腦及週邊設備業
1570,力肯,18.44,電機機械
1580,新麥,55.53,電機機械
1584,精剛,18.99,其他
1586,和勤,18.67,電機機械
1593,祺驊,32.20,運動休閒
1595,川寶,54.63,電子零組件業
1599,宏佳騰,26.08,電機機械
1742,台蠟,15.63,化學工業
1777,生泰,52.64,生技醫療業
1781,合世,7.09,生技醫療業
1784,訊聯,25.03,生技醫療業
1785,光洋科,22.03,其他電子業
1788,杏昌,64.68,生技醫療業
1796,金穎生技,19.20,食品工業
1799,易威,6.07,生技醫療業
1813,寶利徠,16.28,生技醫療業
1815,富喬,14.41,電子零組件業
2035,唐榮公司,12.60,鋼鐵工業
2061,風青,10.96,電器電纜
2063,世鎧,21.91,鋼鐵工業
2064,晉椿,14.96,鋼鐵工業
2065,世豐,32.48,鋼鐵工業
2066,世德,48.32,電機機械
2067,嘉鋼,6.50,電機機械
2070,精湛,25.37,電機機械
2073,雄順,16.01,鋼鐵工業
2221,大甲,22.60,其他
2230,泰茂,20.85,電機機械
2235,謚源,35.19,電機機械
2596,綠意,19.26,建材營造
2640,大車隊,29.98,數位雲端
2641,正德,22.57,航運業
2643,捷迅,52.57,航運業
2718,晶悅,26.16,建材營造
2719,燦星旅,10.89,觀光餐旅
2729,瓦城,67.14,觀光餐旅
2732,六角,41.49,觀光餐旅
2734,易飛網,9.29,觀光餐旅
2736,富野,21.58,觀光餐旅
2740,天蔥,4.64,觀光餐旅
2743,山富,27.60,觀光餐旅
2745,五福,21.99,觀光餐旅
2752,豆府,39.53,觀光餐旅
2754,亞洲藏壽司,35.37,觀光餐旅
2755,揚秦,24.05,觀光餐旅
2756,聯發國際,22.86,觀光餐旅
2916,滿心,19.73,居家生活
2926,誠品生活,11.77,文化創意業
2937,集雅社,23.21,居家生活
2941,米斯特,22.75,居家生活
2947,振宇五金,39.13,居家生活
2948,寶陞,36.62,居家生活
2949,欣新網,41.89,數位雲端
3064,泰偉,8.08,文化創意業
3066,李洲,14.19,光電業
3067,全域,13.09,其他電子業
3071,協禧,13.32,電腦及週邊設備業
3073,天方能源,12.47,綠能環保
3078,僑威,27.97,電子零組件業
3081,聯亞,40.66,通信網路業
3083,網龍,16.22,文化創意業
3085,新零售,3.42,數位雲端
3086,華義,14.58,文化創意業
3088,艾訊,40.70,電腦及週邊設備業
3093,港建*,6.47,其他電子業
3095,及成,8.74,通信網路業
3105,穩懋,86.52,半導體業
3114,好德,24.01,電子零組件業
3115,富榮綱,4.42,電子零組件業
3118,進階,16.17,生技醫療業
3122,笙泉,11.34,半導體業
3128,昇銳,14.92,光電業
3131,弘塑,142.83,其他電子業
3141,晶宏,32.93,半導體業
3147,大綜,31.60,資訊服務業
3152,璟德,51.52,通信網路業
3162,精確,20.18,電機機械
3163,波若威,32.99,通信網路業
3169,亞信,26.44,半導體業
3171,炎洲流通,14.99,居家生活
3176,基亞,12.03,生技醫療業
3178,公準,26.93,半導體業
3188,鑫龍騰,14.01,建材營造
3191,雲嘉南,5.32,電子零組件業
3202,樺晟,10.68,電子零組件業
3205,佰研,15.67,生技醫療業
3206,志豐,25.54,電子零組件業
3207,耀勝,23.24,電子零組件業
3211,順達,62.63,電腦及週邊設備業
3213,茂訊,43.55,電腦及週邊設備業
3217,優群,46.21,電子零組件業
3218,大學光,37.08,生技醫療業
3219,倚強科,18.43,其他電子業
3221,台嘉碩,20.54,通信網路業
3224,三顧,17.18,電子通路業
3226,至寶電,27.53,電機機械
3227,原相,70.00,半導體業
3228,金麗科,9.00,半導體業
3230,錦明,13.20,光電業
3232,昱捷,14.98,電子通路業
3234,光環,9.51,通信網路業
3236,千如,14.37,電子零組件業
3252,海灣,39.32,觀光餐旅
3259,鑫創,5.62,半導體業
3260,威剛,52.91,半導體業
3264,欣銓,36.43,半導體業
3265,台星科,43.60,半導體業
3268,海德威,15.39,半導體業
3272,東碩,26.29,電腦及週邊設備業
3276,宇環,11.27,電子零組件業
3284,太普高,12.91,其他
3285,微端,13.84,其他電子業
3287,廣寰科,13.63,電腦及週邊設備業
3288,點晶,6.23,電子零組件業
3289,宜特,46.78,其他電子業
3290,東浦,17.17,電子零組件業
3293,鈊象,81.17,文化創意業
3294,英濟,17.11,電子零組件業
3297,杭特,15.76,光電業
3303,岱稜,20.91,其他電子業
3306,鼎天,70.29,通信網路業
3310,佳穎,26.90,電子零組件業
3313,斐成,9.82,其他
3317,尼克森,41.31,半導體業
3322,建舜電,12.83,電子零組件業
3323,加百裕,27.78,電腦及週邊設備業
3324,雙鴻,85.50,其他電子業
3325,旭品,11.33,電腦及週邊設備業
3332,幸康,35.42,電子零組件業
3339,泰谷,13.90,光電業
3349,寶德,8.12,電腦及週邊設備業
3354,律勝,12.49,電子零組件業
3357,臺慶科,67.09,電子零組件業
3360,尚立,11.62,電子通路業
3362,先進光,24.12,光電業
3363,上詮,25.32,通信網路業
3372,典範,10.43,半導體業
3373,熱映,20.41,其他電子業
